date,text,Retweets,,
16-11-11,Today we express our deepest gratitude to all those who have served in our armed forces. #ThankAVet https://t.co/wPk7QWpK8Z,41112,,
16-11-11,Busy day planned in New York. Will soon be making some very important decisions on the people who will be running our government!,28654,,
16-11-11,Love the fact that the small groups of protesters last night have passion for our great country. We will all come together and be proud!,50039,,
16-11-11,"Just had a very open and successful presidential election. Now professional protesters, incited by the media, are protesting. Very unfair!",67010,,
16-11-11,"A fantastic day in D.C. Met with President Obama for first time. Really good meeting, great chemistry. Melania liked Mrs. O a lot!",36688,,
16-11-10,Happy 241st birthday to the U.S. Marine Corps! Thank you for your service!! https://t.co/Lz2dhrXzo4,44655,,
16-11-09,Such a beautiful and important evening! The forgotten man and woman will never be forgotten again. We will all come together as never before,225164,,
16-11-09,"Watching the returns at 9:45pm.
#ElectionNight #MAGA__ https://t.co/HfuJeRZbod",45492,,
16-11-09,RT @IvankaTrump: Such a surreal moment to vote for my father for President of the United States! Make your voice heard and vote! #Election2_,17169,,
16-11-08,RT @EricTrump: Join my family in this incredible movement to #MakeAmericaGreatAgain!! Now it is up to you! Please #VOTE for America! https:_,19710,,
16-11-08,RT @DonaldJTrumpJr: FINAL PUSH! Eric and I doing dozens of radio interviews. We can win this thing! GET OUT AND VOTE! #MAGA #ElectionDay ht_,11287,,
16-11-08,"Still time to #VoteTrump!
#iVoted #ElectionNight https://t.co/UZtYAY1Ba6",25301,,
16-11-08,"Dont let up, keep getting out to vote - this election is FAR FROM OVER! We are doing well but there is much time left. GO FLORIDA!",36745,,
16-11-08,"Just out according to @CNN: ""Utah officials report voting machine problems across entire country""",21910,,
16-11-08,I will be watching the election results from Trump Tower in Manhattan with my family and friends. Very exciting!,25185,,
16-11-08,#ElectionDay https://t.co/MXrAxYnTjY https://t.co/FZhOncih21,25424,,
16-11-08,We need your vote. Go to the POLLS! Lets continue this MOVEMENT! Find your poll location: https://t.co/VMUdvi1tx1_ https://t.co/zGOx74Ebhw,24310,,
16-11-08,VOTE TODAY! Go to https://t.co/MXrAxYnTjY to find your polling location. We are going to Make America Great Again!_ https://t.co/KPQ5EY9VwQ,29756,,
16-11-08,TODAY WE MAKE AMERICA GREAT AGAIN!,352603,,
16-11-08,Today we are going to win the great state of MICHIGAN and we are going to WIN back the White House! Thank you MI!_ https://t.co/onRpEvzHrW,17517,,
16-11-08,"RT @EricTrump: Sean Hannity: If Hillary wins, you own it https://t.co/kQCwX3ttjK",9176,,
16-11-08,"RT @DonaldJTrumpJr: Thanks New Hampshire!!!
#NH #NewHampshire #MAGA https://t.co/JDgcyJvJpk",10591,,
16-11-08,RT @detroitnews: .@IvankaTrump in Michigan: This is your movement۪ https://t.co/0Sa7huoOP1  @realDonaldTrump https://t.co/cMXEqSHuDj,6917,,
16-11-08,"Unbelievable evening in New Hampshire - THANK YOU! Flying to Grand Rapids, Michigan now.
Watch NH rally here:_ https://t.co/hP88anrfgk",9085,,
16-11-08,Big news to share in New Hampshire tonight! Polls looking great! See you soon.,13453,,
16-11-08,"Today in Florida, I pledged to stand with the people of Cuba and Venezuela in their fight against oppression- cont: https://t.co/8eELqk2wUw",13838,,
16-11-08,Thank you Pennsylvania! Going to New Hampshire now and on to Michigan. Watch PA rally here: https://t.co/d29DLINGst_ https://t.co/zcH9crFIKM,9047,,
